Date,Description,Category,Type,Amount,Balance
2026-07-06,Coffee Shop,Food & Drink,Expense,-4.75,1235.80
2026-07-06,Grocery Store,Groceries,Expense,-62.18,1173.62
2026-07-06,Gas Station,Transportation,Expense,-38.40,1135.22
2026-07-07,Paycheck — Direct Deposit,Income,Income,1850.00,2985.22
2026-07-07,Netflix Subscription,Subscriptions,Expense,-15.49,2969.73
2026-07-07,Lunch,Food & Drink,Expense,-12.30,2957.43
2026-07-08,Electric Company,Utilities,Expense,-84.20,2873.23
2026-07-08,Pharmacy,Health,Expense,-22.15,2851.08
2026-07-09,Coffee Shop,Food & Drink,Expense,-4.75,2846.33
2026-07-09,Online Shopping,Shopping,Expense,-56.99,2789.34
2026-07-09,Gym Membership,Fitness,Expense,-40.00,2749.34
2026-07-10,Dinner Out,Food & Drink,Expense,-68.50,2680.84
2026-07-10,Rideshare,Transportation,Expense,-14.20,2666.64
2026-07-10,ATM Withdrawal,Cash,Expense,-100.00,2566.64
2026-07-11,Farmers Market,Groceries,Expense,-35.60,2531.04
2026-07-11,Movie Tickets,Entertainment,Expense,-28.00,2503.04
2026-07-11,Gas Station,Transportation,Expense,-41.75,2461.29
2026-07-12,Grocery Store,Groceries,Expense,-74.32,2386.97
2026-07-12,Streaming Service,Subscriptions,Expense,-9.99,2376.98
2026-07-12,Phone Bill,Utilities,Expense,-65.00,2311.98
